name,source,gender,wikidata,type
"Avenue Reine Astrid",wikidata,F,Q230238,way
"Faubourg Saint Anne",wikidata,F,Q164294,way
"Rue Sainte-Gertrude",wikidata,F,Q235619,way
"Square Gabrielle Petit",wikidata,F,Q468263,way
"Allée Arthur Masson",wikidata,M,Q2865229,way
"Allée Franz Dewandelaer",wikidata,M,Q13212930,way
"Allée Johannes Tinctoris",wikidata,M,Q370512,way
"Avenue Alcide de Gasperi",wikidata,M,Q153832,way
"Avenue Général Jacques",wikidata,M,Q2057914,way
"Avenue Jean Monnet",wikidata,M,Q159700,way
"Avenue Konrad Adenauer",wikidata,M,Q2492,way
"Avenue Robert Schuman",wikidata,M,Q15981,way
"Avenue Thomas Edison",wikidata,M,Q8743,way
"Rue Général Leman",wikidata,M,Q277876,way
"Rue Graham Bell",wikidata,M,Q34286,way
"Rue Henri Pauwels",wikidata,M,Q2961665,way
"Rue Johannes Gutenberg",wikidata,M,Q8958,way
"Rue Joseph Luns",wikidata,M,Q553882,way
"Rue Joseph Wauters",wikidata,M,Q585785,way
"Rue Laurent Delvaux",wikidata,M,Q510315,way
"Rue Louis Braille",wikidata,M,Q93182,way
"Rue Maurice Faure",wikidata,M,Q3300775,way
